date,description,amount,category,flagged
2024-05-28,Apple Store,172.2,Shopping,True
2024-11-27,Mortgage,2849.29,Rent,False
2024-01-08,Phone Bill,417.35,Utilities,False
2024-11-24,Cafe,222.39,Dining,False
2024-07-31,Apple Store,449.78,Shopping,False
2024-11-30,House Payment,2563.65,Rent,True
2024-03-28,Vacation,120.04,Travel,False
2024-11-30,Dining Out,249.97,Entertainment,False
2025-02-14,Airline Ticket,1227.45,Travel,True
2024-10-22,Cafe,153.41,Dining,False
2025-03-10,Online Course,378.98,Education,True
2024-05-25,Amazon Prime,295.79,Entertainment,True
2023-05-08,Target,255.0,Groceries,True
2023-08-09,Gas Bill,82.32,Utilities,False
2023-08-27,Airbnb,1497.96,Travel,True
2024-08-30,Amazon Prime,435.96,Entertainment,False
2024-09-28,Doctor Visit,219.28,Healthcare,True
2025-03-03,Online Course,170.99,Education,False
2023-07-21,Cafe,76.85,Dining,False
2024-01-07,Lyft,242.12,Transportation,True
2024-11-19,Spotify,493.51,Entertainment,False
2024-06-14,Water Bill,312.83,Utilities,False
2024-07-02,Clothing Store,298.95,Shopping,True
2023-10-03,Hulu,287.54,Entertainment,True
2023-06-21,Phone Bill,321.66,Utilities,True
2024-07-24,Mortgage,2779.8,Rent,False
2024-05-19,Doctor Visit,315.47,Healthcare,False
2024-03-05,Amazon,396.98,Shopping,False
2024-11-18,Phone Bill,471.3,Utilities,False
2024-07-24,Mortgage,2564.33,Rent,True
2024-03-14,Apartment Payment,1392.5,Rent,True
2024-08-31,Internet Bill,86.19,Utilities,False
2023-05-06,Clothing Store,427.91,Shopping,True
2023-10-09,Gas Bill,353.04,Utilities,False
2024-08-01,Gas,328.98,Transportation,False
2024-01-25,Parking,485.59,Transportation,False
2023-06-03,Electronics Store,497.89,Shopping,True
2024-10-03,Tuition,450.82,Education,True
2024-10-05,Airline Ticket,1746.45,Travel,True
2023-11-26,Pharmacy,332.19,Healthcare,False
2024-05-07,Parking,473.59,Transportation,True
2025-02-16,Pharmacy,5.93,Healthcare,False
2024-01-04,Airline Ticket,697.89,Travel,True
2024-06-19,Optometrist,352.19,Healthcare,False
2024-06-06,Water Bill,285.24,Utilities,False
2023-06-13,Lyft,425.15,Transportation,True
2023-12-07,Apartment Payment,1719.94,Rent,False
2024-09-04,Airline Ticket,331.54,Travel,True
2023-11-15,Workshop,172.47,Education,False
2024-07-24,Gas,231.14,Transportation,True
2024-05-12,Cafe,435.74,Dining,False
2023-06-12,Parking,250.66,Transportation,False
2023-09-10,Airline Ticket,354.86,Travel,False
2024-08-12,Gas Bill,118.12,Utilities,True
2023-12-28,Coffee Shop,306.29,Dining,False
2024-07-01,Internet Bill,473.37,Utilities,False
2024-05-03,Restaurant,369.94,Dining,False
2024-04-25,Apartment Payment,1212.71,Rent,True
2023-07-02,Netflix,124.7,Entertainment,False
2024-03-19,Pharmacy,271.77,Healthcare,False
2023-08-19,Apple Store,256.38,Shopping,False
2024-03-13,Online Course,101.47,Education,True
2024-03-07,Hotel,1911.69,Travel,True
2024-01-03,Electric Bill,108.65,Utilities,False
2023-09-22,Books,231.82,Education,True
2023-09-29,Parking,403.15,Transportation,False
2023-10-17,Amazon Prime,443.4,Entertainment,False
2024-04-20,Movie Tickets,427.37,Entertainment,True
2024-11-04,Vacation,1020.95,Travel,False
2025-01-16,Costco,223.36,Groceries,False
2023-12-03,Insurance,400.8,Healthcare,True
2023-06-17,Conference,476.96,Education,False
2024-01-09,House Payment,815.86,Rent,False
2024-05-19,Clothing Store,6.97,Shopping,False
2024-09-15,Gas,419.81,Transportation,False
2025-04-09,Cafe,281.98,Dining,False
2025-03-09,Insurance,20.02,Healthcare,False
2025-03-25,Dentist,192.34,Healthcare,True
2023-11-07,Online Course,241.87,Education,True
2024-07-15,Electric Bill,354.55,Utilities,True
2024-07-08,Hotel,1391.43,Travel,False
2023-10-24,Electronics Store,471.88,Shopping,True
2023-09-06,Optometrist,203.41,Healthcare,True
2023-05-10,Books,346.32,Education,False
2023-08-05,Online Course,295.42,Education,True
2023-11-16,Dentist,188.04,Healthcare,True
2023-08-27,Internet Bill,139.44,Utilities,False
2024-12-15,Gas,195.76,Transportation,False
2024-09-28,Clothing Store,228.03,Shopping,True
2023-11-30,Electronics Store,398.47,Shopping,False
2024-04-18,Mortgage,2034.45,Rent,True
2024-05-07,Apartment Payment,2441.11,Rent,False
2023-12-23,House Payment,1037.9,Rent,True
2025-03-10,Bar,387.66,Dining,False
2025-04-04,Vacation,767.2,Travel,False
2025-04-16,Bar,369.46,Dining,False
2025-04-12,Trader Joe's,235.45,Groceries,False
2023-12-19,Lyft,15.51,Transportation,True
2023-10-01,Best Buy,274.95,Shopping,True
2024-10-01,House Payment,2694.73,Rent,True
2023-12-08,Concert,147.54,Entertainment,False
2025-02-04,House Payment,1140.22,Rent,True
2024-01-24,Concert,220.7,Entertainment,False
2023-06-24,Workshop,342.93,Education,False
2023-05-10,Online Course,371.08,Education,False
2024-04-10,Insurance,60.42,Healthcare,True
2025-03-15,Coffee Shop,259.5,Dining,False
2024-10-28,Airline Ticket,190.83,Travel,False
2023-05-20,Best Buy,368.02,Shopping,False
2024-09-13,Apartment Payment,2345.38,Rent,False
2024-06-25,Gas Bill,184.88,Utilities,True
2025-04-28,Clothing Store,268.22,Shopping,True
2023-12-05,Walmart,36.45,Groceries,True
2023-12-14,Best Buy,458.94,Shopping,False
2025-02-27,Cable Bill,450.37,Utilities,False
2025-01-21,Bar,278.17,Dining,True
2024-09-10,Rental Car,238.39,Travel,False
2023-05-14,Mortgage,2557.79,Rent,True
2024-10-04,Monthly Rent,2536.24,Rent,True
2024-06-12,Spotify,307.22,Entertainment,True
2024-05-11,Monthly Rent,2477.92,Rent,False
2024-07-05,Costco,127.42,Groceries,False
2023-09-04,Phone Bill,329.6,Utilities,True
2023-10-30,Electronics Store,499.48,Shopping,False
2025-04-07,Netflix,414.63,Entertainment,False
2024-03-29,Hulu,127.83,Entertainment,True
2023-07-25,Hotel,138.18,Travel,False
2024-07-16,Cafe,236.84,Dining,True
2024-07-14,Public Transit,186.83,Transportation,True
2024-04-03,Hotel,217.69,Travel,False
2024-01-06,Coffee Shop,344.83,Dining,False
2024-10-20,Monthly Rent,2092.36,Rent,False
2024-03-20,Local Market,99.94,Groceries,True
2023-08-08,Dentist,277.31,Healthcare,False
2023-12-29,Kroger,127.31,Groceries,False
2024-01-27,Movie Tickets,187.45,Entertainment,False
2023-10-19,Airbnb,520.88,Travel,False
2024-11-13,Dining Out,18.06,Entertainment,False
2025-03-06,Apple Store,238.78,Shopping,True
2024-01-23,Hotel,1801.11,Travel,True
2023-09-05,Electronics Store,455.88,Shopping,False
2023-07-26,Conference,425.65,Education,True
2024-08-11,Gas,176.72,Transportation,False
2023-05-28,Phone Bill,477.24,Utilities,True
2024-02-04,Spotify,340.75,Entertainment,False
2024-09-28,Bar,293.18,Dining,False
2024-08-29,Walmart,269.66,Groceries,False
2024-05-31,Pharmacy,119.49,Healthcare,True
2024-12-02,Bar,378.8,Dining,False
2024-12-18,House Payment,1018.68,Rent,False
2024-02-07,Lyft,444.83,Transportation,True
2023-06-14,Electric Bill,308.37,Utilities,True
2024-09-03,Rental Car,1649.45,Travel,False
2024-04-19,Internet Bill,222.7,Utilities,False
2025-01-21,Doctor Visit,164.35,Healthcare,False
2024-12-03,Water Bill,132.78,Utilities,True
